NAME,SYMBOL
Banx,BANX
Binance Coin,BNB
Bitcoin,BTC
Bitcoin Cash,BCH
Bitcoin Gold,BTG
Bitcoin SV,BSV
BitConnect,BCC
BitShares,BTS
ByteCoin,BCN
Cardano,ADA
Chainlink,LINK
Crypto.com Coin,CRO
DAO Maker,DAO
Dash,DASH
DigixDAO,DGD
Dogecoin,DOGE
Emercoin,EMC
EOS,EOS
Ethereum,ETH
Ethereum Classic,ETC
Factom,FCT
IOTA,MIOTA
Lisk,LSK
Litecoin,LTC
MaidSafeCoin,MAID
Monero,XMR
NEM,XEM
Neo,NEO
Nxt,NXT
PayCoin,XPY
Peercoin,PPC
Polkadot,DOT
Ripple,XRP
Steem,STEEM
Stellar,XLM
TRON,TRX
UniSwap,UNI
